freight_value,payment_value,payment_installments,product_weight_g,delivery_days,price,review_score
8.72,18.12,1,500.0,8.0,29.99,4
8.72,2.0,1,500.0,8.0,29.99,4
8.72,18.59,1,500.0,8.0,29.99,4
22.76,141.46,1,400.0,13.0,118.7,4
19.22,179.12,3,420.0,9.0,159.9,5
27.2,72.2,1,450.0,13.0,45.0,5
8.72,28.62,1,250.0,2.0,19.9,5
27.36,175.26,6,7150.0,16.0,147.9,4
15.17,75.16,3,50.0,9.0,59.99,5
16.05,35.95,1,300.0,9.0,19.9,1
19.77,161.42,1,9750.0,18.0,149.99,5
19.77,8.34,1,9750.0,18.0,149.99,5
30.53,259.06,1,9000.0,12.0,99.0,1
16.13,114.13,1,325.0,5.0,98.0,4
18.23,50.13,1,450.0,12.0,31.9,5
12.8,32.7,3,200.0,4.0,19.9,5
16.11,54.36,1,583.0,11.0,38.25,4
14.05,146.45,10,150.0,13.0,132.4,5
15.1,43.09,4,300.0,12.0,27.99,5
11.85,29.75,1,250.0,6.0,17.9,5
16.97,62.15,1,325.0,13.0,76.0,4
16.97,24.86,1,325.0,13.0,76.0,4
16.97,5.96,1,325.0,13.0,76.0,4
8.96,118.86,1,525.0,21.0,109.9,2
8.91,88.9,4,250.0,4.0,79.99,5
7.78,17.28,1,200.0,4.0,9.5,3
57.58,187.57,3,14950.0,18.0,129.99,4
14.21,104.11,1,600.0,4.0,89.9,5
15.53,125.43,1,500.0,28.0,109.9,2
48.64,227.68,10,10950.0,12.0,90.9,1
48.64,227.68,10,350.0,12.0,39.5,1
12.79,60.69,2,200.0,9.0,47.9,5
13.69,192.68,8,292.0,14.0,178.99,4
33.24,63.34,3,850.0,30.0,30.1,4
34.19,313.19,1,16450.0,8.0,279.0,2
38.0,224.9,4,100.0,18.0,186.9,1
14.1,63.1,1,3000.0,22.0,49.0,4
15.35,100.25,1,800.0,18.0,84.9,5
9.41,188.41,2,425.0,1.0,179.0,5
28.95,106.95,4,850.0,30.0,78.0,5
26.89,66.79,1,1207.0,20.0,39.9,4
15.1,43.0,1,200.0,7.0,27.9,5
63.17,508.17,1,683.0,17.0,445.0,5
12.79,49.69,4,700.0,10.0,36.9,3
34.2,154.19,4,6050.0,11.0,119.99,5
17.12,356.12,10,14300.0,33.0,339.0,1
25.77,95.67,9,281.0,7.0,69.9,5
22.62,121.62,1,450.0,9.0,99.0,4
14.72,153.72,7,8875.0,10.0,139.0,1
17.92,54.82,1,650.0,10.0,36.9,4
12.43,82.33,5,2600.0,3.0,69.9,5
18.34,52.24,1,1150.0,4.0,33.9,5
15.56,130.56,1,450.0,6.0,115.0,5
13.37,52.84,1,1700.0,12.0,39.47,5
18.47,71.91,1,410.0,7.0,53.44,5
15.52,151.04,2,100.0,5.0,60.0,1
17.33,386.33,10,394.0,19.0,369.0,4
11.85,50.25,1,950.0,4.0,38.4,5
8.78,128.68,3,400.0,7.0,119.9,5
13.47,43.46,1,350.0,3.0,29.99,5
22.85,91.68,9,150.0,24.0,22.99,1
14.36,99.26,1,1200.0,23.0,84.9,1
28.15,141.15,1,5950.0,5.0,113.0,5
11.76,91.66,1,949.0,4.0,79.9,4
13.76,53.66,1,450.0,5.0,39.9,5
18.34,317.34,9,1813.0,7.0,299.0,5
15.1,43.0,1,150.0,18.0,27.9,4
24.97,346.09,3,6550.0,2.0,119.0,4
3.12,346.09,3,12450.0,2.0,199.0,4
82.48,824.76,4,10000.0,9.0,329.9,3
15.1,39.99,1,125.0,10.0,24.89,4
13.25,392.6,3,150.0,4.0,84.9,5
12.03,55.02,1,1200.0,5.0,42.99,5
